,activation,epochs,loss_,neurons,optimizer_,means
330,sigmoid,25,binary_crossentropy,64,ftrl,54.98737494150797
331,sigmoid,25,binary_crossentropy,64,RMSprop,92.99242297808328
332,sigmoid,25,binary_crossentropy,128,sgd,54.98737494150797
333,sigmoid,25,binary_crossentropy,128,adam,94.53914165496826
334,sigmoid,25,binary_crossentropy,128,ftrl,54.98737494150797
335,sigmoid,25,binary_crossentropy,128,RMSprop,90.3724730014801
336,sigmoid,25,binary_crossentropy,256,sgd,54.98737494150797
337,sigmoid,25,binary_crossentropy,256,adam,94.91792917251587
338,sigmoid,25,binary_crossentropy,256,ftrl,54.98737494150797
339,sigmoid,25,binary_crossentropy,256,RMSprop,95.07575829823813
340,sigmoid,30,binary_crossentropy,16,sgd,54.98737494150797
341,sigmoid,30,binary_crossentropy,16,adam,80.27146458625793
342,sigmoid,30,binary_crossentropy,16,ftrl,54.98737494150797
343,sigmoid,30,binary_crossentropy,16,RMSprop,81.81818326314291
344,sigmoid,30,binary_crossentropy,32,sgd,54.98737494150797
345,sigmoid,30,binary_crossentropy,32,adam,94.09722089767456
346,sigmoid,30,binary_crossentropy,32,ftrl,54.98737494150797
347,sigmoid,30,binary_crossentropy,32,RMSprop,90.625
348,sigmoid,30,binary_crossentropy,64,sgd,54.98737494150797
349,sigmoid,30,binary_crossentropy,64,adam,95.29671669006348
350,sigmoid,30,binary_crossentropy,64,ftrl,54.98737494150797
351,sigmoid,30,binary_crossentropy,64,RMSprop,93.81313125292459
352,sigmoid,30,binary_crossentropy,128,sgd,54.98737494150797
353,sigmoid,30,binary_crossentropy,128,adam,95.92803120613098
354,sigmoid,30,binary_crossentropy,128,ftrl,54.98737494150797
355,sigmoid,30,binary_crossentropy,128,RMSprop,91.82449380556741
356,sigmoid,30,binary_crossentropy,256,sgd,54.98737494150797
357,sigmoid,30,binary_crossentropy,256,adam,95.39141257603964
358,sigmoid,30,binary_crossentropy,256,ftrl,54.98737494150797
359,sigmoid,30,binary_crossentropy,256,RMSprop,89.20454581578574
